Date,Open,High,Low,Close,Volume
9-Jun-14,62.40,63.34,61.79,62.88,37617413
6-Jun-14,63.37,63.48,62.15,62.50,42442096
17-Sep-13,42.50,45.44,42.43,45.07,91934557
16-Sep-13,44.85,44.94,42.43,42.51,70807761
13-Sep-13,45.04,45.08,43.93,44.31,52765299
12-Sep-13,45.53,45.62,44.65,44.75,68072239
11-Sep-13,43.39,45.09,43.11,45.04,71676653
10-Sep-13,44.24,44.26,43.23,43.60,54540282
9-Sep-13,44.36,44.79,43.70,44.04,75794696
6-Sep-13,43.09,44.61,42.40,43.95,117535626
5-Sep-13,41.79,42.76,41.77,42.66,50035380
4-Sep-13,42.01,42.17,41.44,41.78,42581854
3-Sep-13,41.84,42.16,41.51,41.87,48774896
30-Aug-13,42.02,42.26,41.06,41.29,67735053
29-Aug-13,40.89,41.78,40.80,41.28,58303395
28-Aug-13,39.96,40.85,39.88,40.55,57918194
27-Aug-13,40.68,41.20,39.42,39.64,72695050
26-Aug-13,40.90,41.94,40.62,41.34,94162358
23-Aug-13,39.00,40.63,38.93,40.55,86442283
22-Aug-13,38.37,38.75,38.34,38.55,21931163
21-Aug-13,38.38,38.85,38.14,38.32,46116868
20-Aug-13,38.35,38.58,37.69,38.41,57995140
19-Aug-13,37.43,38.28,37.14,37.81,57609591
16-Aug-13,36.97,37.49,36.90,37.08,45840714
15-Aug-13,36.36,37.07,36.02,36.56,56521095
14-Aug-13,36.83,37.55,36.62,36.65,48423890
13-Aug-13,38.24,38.32,36.77,37.02,65379198
12-Aug-13,38.20,38.50,38.10,38.22,31160951
9-Aug-13,38.59,38.74,38.01,38.50,43620024
8-Aug-13,39.13,39.19,38.43,38.54,41300906
7-Aug-13,38.61,38.94,37.70,38.87,68854764
6-Aug-13,39.11,39.25,37.94,38.55,63950791
5-Aug-13,38.43,39.32,38.25,39.19,79994774
2-Aug-13,37.66,38.49,37.50,38.05,73058424
1-Aug-13,37.30,38.29,36.92,37.49,106066472
31-Jul-13,37.96,38.31,36.33,36.80,154828679
30-Jul-13,35.65,37.96,35.32,37.63,173582710
29-Jul-13,34.07,35.63,34.01,35.43,124884870
26-Jul-13,33.77,34.73,33.56,34.01,136028897
25-Jul-13,33.54,34.88,32.75,34.36,365935212
24-Jul-13,26.32,26.53,26.05,26.51,82635587
23-Jul-13,26.10,26.30,25.97,26.13,28221534
22-Jul-13,25.99,26.13,25.72,26.04,27526213
19-Jul-13,25.82,26.11,25.60,25.88,46544938
18-Jul-13,26.75,26.77,26.12,26.18,24806825
17-Jul-13,26.37,26.78,26.30,26.65,21518463
